ru,en
тёплый,"warm, mild, cordial, kindly, affectionate"
немецкий,German
рассказ,story
трава,grass
трава,weed
трава,herb
шесть,"six, 6"
тридцать,thirty
шея,neck
толпа,"crowd, throng, multitude"
родитель,parent
секунда,second
придтись,"to fit, fall"
придтись,have to
уверенный,"assured, sure, confident, positive, certain"
неизвестный,unknown
программа,program
звук,sound
неожиданно,"unexpectedly, suddenly"
вон,"out, there, over there"
чай,"tea, tea-party, methinks, maybe"
спасибо,"thanks, thank you"
магазин,"shop, store, magazine"
американский,American
полковник,colonel
природа,"nature, countryside, character"
сильно,"strongly, violently, heavily, greatly, badly, vastly"
поэт,poet
район,"region, district, area, vicinity"
этаж,"floor, storey"
суд,"law-court, court, justice, judgment, trial, the judges, the bench"
суд,"hearing, legal hearing"
чей,whose
дед,"grandfather, old man, forefathers"
дочь,daughter
серьёзный,"serious, earnest, grave"
быстрый,"fast, quick, rapid, prompt"
мнение,opinion
революция,revolution
долгий,"long, of long duration"
улыбка,smile
лошадь,horse
звезда,star
звезда,famous person
звезда,name of service module on the International Space Station
поезд,train
сестра,sister
сестра,nurse
пожалуйста,please
пожалуйста,you are welcome
пожалуйста,here you go
цветок,"flower, blossom"
дождь,rain
сосед,neighbour
пример,"example, instance"
разговаривать,"speak, talk, converse, be on speaking terms"
горячий,"hot, heated"
горячий,"hot-tempered, passionate"
слабый,"weak, faint, feeble, loose, slack, poor"
музыка,music
добавить,add
лето,summer
литература,literature
дурак,"fool, idiot"
невозможно,"it is impossible, impossibly"
статья,"article, item, clause, point, class, rating"
круг,"circle, sphere, range, scope, reach, lap"
лагерь,camp
удовольствие,"pleasure, amusement"
вино,"wine, liquor, spirits"
возраст,age
лестница,"stairs, staircase, ladder"
министр,"Minister, Secretary, Secretary of State"
обратно,"back, backwards, conversely, inversely"
Петербург,St Petersburg
сад,garden
задача,"task, exercise, problem"
осторожно,"carefully, cautiously, guardedly, warily, gingerly"
дым,smoke
километр,kilometre
председатель,"chairman, president, the Speaker"
прочее,other
вверх,"up, upwards, upstream"
доллар,dollar
выражение,expression
танк,"tank, container"
зима,winter
семь,"seven, 7"
мозг,"brain, marrow, brains"
майор,major
понятно,"it is clear, naturally, of course, clearly, plainly, forcibly, perspicuously"
рыба,fish
птица,bird
папа,dad
папа,Pope
колоть,"inject, prick, prickle"
колоть,chop
несмотря,"despite, in spite of"
спокойный,"quiet, calm, tranquil, placid, serene, easy-tempered, composed, easy"
художник,"artist, painter"
курс,"course, policy, rate of exchange"
куст,"bush, shrub, group"
крайний,"extreme, the last"
оттуда,from there
фирма,firm
миллион,million
пространство,space
начинаться,"begin, start, set in"
линия,line
поговорить,"have a talk, talk"
наверно,"probably, most likely, for sure, certainly, for a certainty"
бабушка,"grandmother, grandmamma, grandma, granny"
рот,mouth
малый,"small, the little, fellow, boy, lad, guy"
процент,"percentage, rate, interest"
немедленно,"immediately, at once"
остров,"island, isle"
объявить,to declare
объявить,to announce
театр,"theatre, play-house, dramatic works, plays"
штаб,"staff, headquarters"
детство,childhood
стакан,glass
материал,"material, stuff, fabric"
приняться,begin
виноватый,guilty
четвёртый,fourth
Германия,Germany
вставать,"get up, rise, be up, stand up, go, fit, arise"
нож,"knife, table-knife, penknife, clasp-knife"
точный,"exact, precise, accurate, punctual"
рынок,market
шум,"noise, sound, murmur, hubbub, uproar"
студент,student
впечатление,"impression, influence, effect"
засмеяться,begin to laugh
запад,"west, the West, the Occident"
инженер,engineer
население,"population, inhabitants, peopling, setting"
спасти,"save, rescue, salvage"
чёрт,"devil, deuce"
фигура,"figure, picture-card, face-card, court-card, chess-man, piece"
даль,distance
нормальный,"normal, sane"
журнал,"periodical, magazine, journal, diary, register"
заговорить,begin to speak
социальный,social
клуб,"club, club-house, puff"
хвост,"tail, train, brush, scut, end, tail-end, queue, line, arrears"
восемь,"eight, 8"
лечение,"treatment, cure"
экономический,economic
замечать,"note, observe, sight, catch sight, take notice, pay heed, remark"
голый,"naked, bare, bald, unmixed, sheer, neat, pure"
грязный,"dirty, muddy, miry, filthy, sordid"
культура,culture
территория,territory
костюм,"costume, dress, suit"
деревянный,"wooden, ligneous"
громко,"loud, aloud"
поздно,"it is late, late"
пятьдесят,fifty
остановить,"stop, bring to stop"
полностью,"completely, utterly, in full"
страница,page
многое,"a great deal, much, many things"
еда,"food, meal"
английский,"English, British"
проснуться,"wake up, awake"
понравиться,"enjoy, like"
фотография,"photography, photograph, photo, picture"
принцип,principle
миг,"moment, instant"
Европа,Europe
меч,sword
научный,scientific
тюрьма,"prison, jail, gaol"
дворец,palace
билет,"ticket, card"
соседний,"neighbouring, neighbour, next, adjacent, near by"
фраза,"phrase, sentence"
Америка,"America, USA, US, United States, United States of America"
фильм,"movie, film"
родиться,"be born, come into being, arise, thrive"
больница,hospital
спасть,"fall down, abate"
пятый,fifth
постепенно,"gradually, little by little, by degrees"
возможный,"possible, feasible"
внимательно,"attentively, carefully, intently"
скорость,"speed, rate, velocity"
технический,technical
текст,"text, words"
дикий,"wild, barbarous, savage, shy, unsociable, strange, queer, preposterous, outrageous"
артист,"artist, actor"
кот,cat
здоровье,health
костёр,"bonfire, fire"
человечество,"humanity, mankind"
пуля,"bullet, projectile"
сомнение,doubt
случайно,"by chance, by accident, accidentally, by any chance"
исторический,"historical, historic, epoch-making"
читатель,reader
убийство,"murder, assassination"
восток,"east, the East, the Orient"
реальный,"real, realizable, practicable, workable, practical"
пауза,"pause, interval, rest"
национальный,"national, State"
ясный,"clear, lucid, distinct, serene"
постоянно,"constantly, continually, always"
песок,"sand, sands, gravel"
работник,"worker, farm-hand"
ресторан,restaurant
список,"list, record"
задний,"back, rear, hind"
господи,"lord, oh my God"
автобус,"bus, coach"
поймать,"catch, pick up"
начальство,"command, authorities, heads, the chief"
северный,"north, northern"
сунуть,"to slip, poke, thrust, shove"
международный,international
воскликнуть,"exclaim, cry"
пиво,beer
полтора,one and a half
центральный,"central, metropolitan"
чиновник,"official, functionary, bureaucrat"
эхо,echo
внизу,"below, underneath, downstairs, at the foot, at the bottom"
здравствовать,"be well, prosper, thrive"
лёгкое,"lung, lights"
разрешить,"allow, permit, authorize"
разрешить,"resolve, settle"
важно,"it is important, with an air of importance, with a consequential air, grandly"
энергия,energy
сигарета,cigarette
закрытый,closed
пустить,"let, allow"
пустить,"set in motion, put in action, set working"
пустить,"shoot, loose"
пустить,turn on
пустить,let go
кошка,"cat, grapnel, drag, climbing-irons"
зона,zone
предел,"limit, bound, end"
мечтать,dream
пятнадцать,fifteen
терять,"to lose, to waste"
терять,to shed
постель,bed
Ленинград,Leningrad
сзади,"from behind, from the rear, behind"
королева,queen
вход,"entrance, entry"
церковь,church
музей,museum
планета,planet
говориться,"to be said, says"
пускать,"let, allow"
пускать,"set in motion, put in action, set working"
иностранный,foreign
пригласить,"invite, ask, call, engage"
честно,"honestly, fairly, frankly"
родственник,"relation, relative, kinsman, kinswoman, kindred, kinsfolk"
определить,"define, determine"
взрослый,"adult, grown-up"
взрослый,mature
осень,"autumn, fall"
тон,tone
итак,"thus, so"
водитель,driver
комиссия,"commission, committee"
красота,beauty
мороз,"frost, freezing weather"
очевидно,"obviously, apparently, manifestly, evidently"
вернуть,"return, give back, bring back, send back"
вернуть,"repay, pay back, reimburse, refund"
вернуть,"recover, get back, win back"
рано,"it is early, it is too early, early"
младший,"younger, youngest, junior"
строго,"strictly, severely"
ниже,"lower, below"
усилие,effort
честной,"worthy, honoured"
повернуть,"turn, swing, change"
столик,"small table, counter"
столик,table at a restaurant
журналист,"journalist, pressman"
озеро,lake
приятно,"it is pleasant, it is nice, pleasantly, agreeably"
сумка,"bag, pouch"
позиция,position
следователь,investigator
серьёзно,"seriously, earnestly, in earnest"
повезти,"bring, take, carry"
повезти,be lucky
песня,song
полок,"shelf, tray"
колесо,wheel
шофёр,"chauffeur, driver"
проект,"project, design, scheme, draft"
совесть,conscience
чемодан,"suitcase, trunk"
возразить,"object, raise an objection, take exception, return, rejoin, retort"
полиция,police
пункт,"point, station, paragraph, item, plank"
вкус,"taste, manner, style"
тотчас,"immediately, at once, instantly"
добро,"good, property, junk, all right, OK"
полк,regiment
кофе,coffee
жениться,"marry, get married"
бровь,"eyebrow, brow"
телевизор,"television set, TV set"
найтись,"be found, turn up, find the right word to say, find the right thing to do, be, walk for a long time, tire oneself by walking"
звучать,"sound, ring, resound, be heard"
база,"base, basis"
послушать,listen
урок,"lesson, homework, task"
дедушка,"grandfather, grandad, grand-dad, grandpa, old man"
безопасность,"safety, security"
убивать,"kill, murder, assassinate, slay"
штаны,"trousers, breeches"
грязь,"dirt, filth, corruption, mud"
жалить,"sting, bite"
нижний,lower
подарок,"present, gift"
август,August
превратиться,"turn into, become"
университет,university
молоко,milk
катить,"roll, drive, push along"
отчего,why
поверхность,surface
товар,"commodity, article, goods, wares"
доказать,"prove, demonstrate"
спуститься,go down
абсолютно,"absolutely, perfectly, utterly"
продать,"sell, sell out"
середина,"middle, midst"
измениться,change
комитет,committee
решать,"decide, determine, resolve, be determined, solve"
холод,"cold, coldness, cold weather"
Париж,Paris
незнакомый,"unknown, unfamiliar, unconversant"
записка,note
появление,"appearance, apparition"
двинуться,"move, advance"
успокоиться,calm down
обязанный,"obliged, indebted"
октябрь,October
могила,grave
приводить,"bring, lead, result, reduce, adduce, cite, list"
облако,cloud
милиционер,"policeman, militiaman"
сумма,sum
помолчать,"be silent, keep quiet"
инспектор,inspector
парк,"park, fleet, stock, yard, depot"
сумасшедший,"lunatic, madman, mentally ill person, madwoman"
сумасшедший,"crazy, mad, insane"
взрыв,"explosion, outburst, burst"
расстояние,"distance, space"
актёр,"actor, player"
прибыть,arrive
куртка,jacket
заставлять,"force, compel, make"
заставлять,"cram, fill, block up, obstruct"
ох,oh
официальный,official
луна,moon
экономика,"economy, economics"
подтвердить,"confirm, corroborate"
буквально,"literally, word for word"
испугаться,"to be frightened of, be startled of, take fright at, shy at"
волк,wolf
структура,structure
сержант,sergeant
совершить,"accomplish, perform, commit, perpetrate"
поколение,generation
значительный,"considerable, sizeable, substantial, significant, meaningful, important"
пила,"saw, nagger"
файл,file
просьба,"request, application, petition, favor"
разница,"difference, disparity"
непонятный,"incomprehensible, unintelligible, obscure"
расчёт,"calculation, estimate"
расчёт,"settlement of accounts, payment"
расчёт,"dismissal, firing, discharge"
ловить,"catch, pick up"
температура,"temperature, high temperature"
республика,republic
сентябрь,September
дивизия,division
реакция,reaction
тоска,"melancholy, depression, yearning, anguish, ennui, weariness, boredom, longing, grief"
полчаса,half an hour
кольцо,"ring, hoop"
двенадцать,twelve
вывести,"take out, lead out, help out, make go out, turn out, withdraw, call off, remove, extirpate, destroy, exterminate, conclude, infer, depict, portray, grow, raise, hatch"
оттого,that is why
страсть,"passion, obsession"
страсть,strong love between people
страсть,"religion, plural only horror, suffering"
коммунист,communist
участник,"participant, participator, sharer, accomplice, competitor, player, member"
подруга,friend (female)
подруга,girlfriend
истина,truth
мгновенно,"instantly, in a trice, in a moment"
оборона,"defence, defensive position, defences"
поступать,"act, behave"
поступать,"enter, join, matriculate, enroll"
элемент,"element, cell"
приносить,"bring, fetch, yield, bring in"
телефонный,"telephone, telephonic"
крыльцо,porch
брюки,"trousers, pants, breeches, plus-fours, knickerbockers"
крест,cross
теория,theory
луч,"ray, beam"
молчание,silence
литературный,literary
палка,"stick, walking-stick, cane, staff"
фонарь,"lantern, lamp, light, skylight, bay, black eye"
естественный,natural
девять,"nine, 9"
дочка,daughter
обезьяна,"monkey, ape"
замолчать,"become silent, stop speaking"
твёрдо,"firmly, firm"
склад,"storehouse, depot, store, a lot of, constitution"
север,north
покупать,"buy, purchase, bathe, bath"
пальто,"coat, topcoat"
любопытство,curiosity
насколько,"how much, as far as, so far as"
насколько,to what degree
подписать,"sign, add, subscribe"
зарплата,"salary, pay"
топор,axe
сперва,"at first, firstly"
менять,"change, exchange"
пачка,"packet, bundle, batch, sheaf, pack, parcel, tutu"
ага,cane toad
широко,"wide, widely, broadly"
изо,from
изо,out of
храм,temple
сделаться,"become, turn into"
сделаться,happen
летать,"fly, flutter - multi way"
пассажир,passenger
верёвка,"rope, cord, string"
двести,two hundred
валить,bring down
валить,"get out, leave"
валить,"pile, stack"
валить,"lay, heap"
паспорт,"passport, registration certificate"
привычка,habit
устать,"get tired, be tired"
скрыться,"hide, disappear"
шоссе,"highway, macadam road"
могучий,mighty
кабина,"booth, shower, cab, lift car"
Израиль,Israel
эй,"hey, hi"
благородный,noble
молодец,"Well done, good job"
молодец,"fine fellow, fine girl"
пресса,"the press, pressmen"
позади,behind
подробность,detail
талант,"talent, gift, man of talent, gifted person, great talent"
отлично,excellently
дружба,"friendship, amity"
памятник,"monument, memorial, tombstone, statue"
везде,everywhere
батальон,battalion
школьный,"school, scholastic"
медицинский,medical
сигнал,"signal, call, notification, warning"
мотор,"motor, engine"
профессия,"occupation, profession, trade"
юг,south
воин,"fighting man, warrior"
медведь,bear
цк,the Central Committee
полёт,flight
пулемёт,machine-gun
направиться,be headed
механизм,"mechanism, gear, machinery"
услать,send away
шестой,sixth
комиссар,"commissar, commissioner"
малыш,"small child, youngster, kiddy, little one, little man"
профессиональный,professional
компьютер,computer
башня,"tower, turret"
секрет,"secret, listening post, secretion"
лампа,"lamp, valve, tube"
библиотека,"library, lending library, reference library"
отдыхать,"rest, be resting, be on holiday"
океан,ocean
радио,"radio, radio set, wireless"
плыть,swim
плыть,float
подхватить,"catch, pick up, catch up"
боже,my god
боже,god
исчезать,"disappear, vanish, wear off"
Франция,France
ложиться,lie down
ложиться,go to bed
гном,gnome
метода,method
ответственность,"responsibility, amenability"
седьмой,seventh
финансовый,financial
неплохо,"not bad, rather well, quite good"
пакет,"bag, package, parcel, packet, paper-bag"
контакт,contact
подвал,"basement, vault, cellar, lower half of the page, special article"
американец,"American, Yankee, Yank"
традиция,tradition
привет,"hello (informal), hi (informal)"
продавать,"sell, sell out"
шеф,"chief, boss, patron"
радостно,"With joy, happily"
вор,"thief, pilferer"
заметно,"it is noticeable, one can see, noticeably, appreciably"
редактор,editor
подушка,"pillow, cushion, air-cushion, bolster"
холодно,"it is cold, coldly"
ха,ha
министерство,"ministry, board, office, department"
модель,"model, pattern"
поглядывать,"cast a glance, look, keep an eye"
жест,gesture
непонятно,"it is incomprehensible, it is impossible to understand, incomprehensibly"
ноябрь,November
пробормотать,"mutter, mumble"
кожаный,leather
гроб,"coffin, grave"
прислушиваться,"listen, lend ear, cock an ear"
май,May
многочисленный,numerous
нигде,nowhere
мягко,"softly, mildly, gently"
марка,"stamp, mark, sign, brand, grade, sort, counter"
император,emperor
двигатель,"motor, engine, mover"
правильный,"correct, true"
правильный,"regular, proper, rectilinear"
правильный,"levelling, correcting, straightening"
лев,"lion, Leo, lew, lev"
возвращение,"return, recurrence"
коробка,"box, frame"
печка,"stove, oven, heater, furnace"
заснуть,fall asleep
симптом,symptom
кладбище,"cemetery, burial-ground, graveyard, church yard"
комплекс,complex
повесить,"hang up, hang"
шанс,chance
ложка,spoon
старушка,"old lady, old woman, old dame"
коричневый,brown
декабрь,December
палата,"chamber, house, ward, palace"
палата,hospital room
обидеться,"take offense, be offended, be hurt, resent"
горизонт,"horizon, skyline, level"
подобрать,"pick up, tuck up, sort out, select, glean"
распахнуть,"plough up, till, open wide"
июнь,June
стоящий,"worthwhile, worth doing"
стоящий,"standing, not seated"
голодный,hungry
гений,genius
стиль,style
госпиталь,hospital
агент,agent
меняться,"change, exchange"
коньяк,"cognac, brandy"
публика,"public, the audience"
пилить,to saw
пилить,"to nag, pester"
март,March
колхоз,"kolkhoz, collective farm"
концерт,"concert, recital, concerto"
рыбак,fisherman
незаметно,"it does not show, it does not look as if, imperceptibly"
отель,hotel
лаборатория,laboratory
утренний,morning
туча,"cloud, storm-cloud, swarm, host"
каков,what
взвод,"platoon, section, troop, recess, notch"
клиент,"client, customer"
верх,top
пушок,"fluff, bloom"
тётка,"aunt, mother, ma, lady"
подготовить,"prepare, make ready, train"
воздушный,"air, aerial, airy, light"
европейский,European
трогать,"touch, disturb, move, affect"
увы,alas
усесться,"take a seat, take seats, seat oneself, find a seat, find seats, find room, set"
нерв,nerve
администрация,"administration, management, the management"
невидимый,invisible
подбородок,chin
бомба,bomb
арестовать,arrest
продолжить,"continue, go on, proceed, keep on, extend, prolong"
политик,"political figure, politician"
карьера,career
представляться,"present itself, arise, occur"
представляться,seem
представляться,introduce oneself
ленинградский,of or relating to the city of Leningrad
значительно,"considerably, significantly"
вещий,prophetic
экзамен,"examination, exam, test"
гибель,"death, destruction, loss, wreck, fall, downfall, ruin, masses, oceans, swarms"
уставиться,stare
ангел,angel
дрова,firewood
махать,"wave, wag, flap"
губернатор,governor
оцениить,"fix the price, state the value, value, estimate, appraise, evaluate"
пенсия,pension
июль,July
воображение,imagination
описать,"describe, depict, portray, inventory, distrain, circumscribe"
искра,spark
отчаяние,despair
бизнес,business
неведомый,"unknown, unfamiliar, mysterious"
доноситься,"reach ears, be heard, waft"
сэр,sir
виза,visa
биться,"fight, knock, hit, strike, beat, struggle"
бюджет,budget
кролик,rabbit
содержать,"to contain, to hold"
содержать,"keep, maintain, support"
танец,dance
ярко,"brightly, strikingly, brilliantly, vividly"
внук,"grandson, grandchild"
внук,descendant
гордость,pride
посреди,in the middle
стук,"knock, tap, noise"
снизу,"from below, from bottom, below, on the initiative of the masses"
печь,bake
январь,January
гигантский,"gigantic, titanic"
японский,Japanese
шкура,"skin, hide, fell"
приглашать,"invite, ask, call, engage"
немножко,"a little, a trifle, a bit"
статус,status
прибор,"device, apparatus, instrument, set, fittings"
прибор,cutlery
обойти,"go around, travel around, get around"
обойти,"evade, circumvent"
расстрелять,execute by shooting
расстрелять,destroy by shooting from short distance
расстрелять,"shoot away, use up bullets"
путешествие,"journey, voyage, trip, travels"
империя,empire
давление,pressure
спектакль,"play, performance"
плавать,"swim, float, drift, sail, steam, navigate, boat"
лекция,lecture
желудок,stomach
док,dock
социализм,socialism
свадьба,wedding
оторвать,"tear off, tear away, rip off"
полететь,"start to fly, fall, go headlong"
приготовить,"prepare, make ready, train, cook, make, lay in, provide oneself, have in store"
заплакать,begin to cry
скандал,"scandal, row, brawl"
завтрак,"breakfast, lunch, luncheon"
версия,version
прервать,"interrupt, cut short, break off"
материальный,"material, pecuniary"
охотник,"hunter, sportsman, gun, trapper, lover"
прошептать,whisper
течь,"flow, stream, leak"
речка,"small river, brook, rivulet"
бревно,"log, beam"
бревно,"dullard, numskull"
бревно,balance beam
секретный,"secret, confidential"
академия,academy
промышленность,industry
идиот,"idiot, imbecile, dolt, dunce"
допрос,"interrogation, examination, questioning"
конфликт,"conflict, dispute"
рваться,"break, burst, tear, long, be dying, strain"
карандаш,pencil
крайне,extremely
анализ,analysis
переговоры,"negotiations, talks, parley"
москвич,"Muscovite, inhabitant of Moscow"
транспорт,"transport, transportation, consignment, train, supply ship, troop transport, troopship, troop-carrier, carrying forward"
справедливость,"justice, equity, fairness, truth, correctness"
рукопись,"manuscript, typescript, copy"
блок,"bloc, pulley, block, prefabricated building unit"
экспедиция,"expedition, dispatch office"
снежный,"snow, snowy"
красавица,"beauty, beautiful woman"
удача,"good luck, success, good fortune"
сарай,"shed, barn"
отрезать,"cut off, snip off, snap out, cut short"
скамейка,bench
скамейка,Long seat with a back
рухнуть,"crash down, tumble down, collapse, be destroyed, fall to the ground"
дьявол,devil
спора,spore
Корея,Korea
кафе,"café, coffee-house"
режиссёр,producer
режиссёр,director
воскресенье,Sunday
культурный,"cultural, cultured, cultivated, educated"
негромко,"quietly, softly"
восьмой,eighth
сахар,sugar
прокурор,"public prosecutor, procurator"
лифт,"lift, elevator"
такси,taxi
чрезвычайно,"extraordinarily, extremely, utterly"
иностранец,foreigner
космический,"cosmic, space"
балкон,balcony
мода,"fashion, vogue"
ступенька,"step, rung"
ломать,"break, fracture, quarry"
суп,soup
сено,hay
акт,"act, deed, document, statement, speech-day, commencement"
указание,"indication, instructions, directions"
четверо,four
молния,lightning
молния,"zipper, zip-fastener"
молния,express-telegram
молния,news-flash
социалистический,socialist
поза,"pose, attitude, posture"
реальность,reality
музыкант,musician
свинья,"pig, swine, hog, sow, boar"
рубаха,shirt
спирт,"alcohol, spirit"
принц,prince
намерение,"intention, purpose"
грустно,"it is sad, sadly, sorrowfully"
обсуждать,"discuss, talk over"
мистер,mister
сломать,"break, fracture, quarry"
миновать,"pass, be over"
выехать,"leave, move, break, train"
нормально,normally
поцеловать,"kiss, give a kiss"
вежливо,"politely, courteously"
использоваться,be used
туалет,"toilet, lavatory, loo, bathroom, restroom"
туалет,"dress, attire"
наверх,"up, upward, upstairs, to the top"
коммунизм,Communism
убежать,run away
убежать,boil over
шестьдесят,sixty
малейший,"the least, the slightest"
визит,"visit, call"
корреспондент,"correspondent, reporter"
посоветовать,"advise, counsel"
нация,"nation, people"
атмосфера,atmosphere
величество,majesty
стоимость,"cost, value"
страдание,suffering
постучать,"knock, rap"
превращаться,"turn into, become, change"
ведьма,"witch, vixen, hag, harridan"
сбежать,"escape, run away"
германский,"Germanic, German"
отнюдь,"by no means, not at all"
ложь,"lie, falsehood"
длительный,"long, protracted, prolonged, lingering"
электрический,electric
вспыхнуть,"blaze up, take fire, break out, flash, flare up, blush, flush"
барон,baron
кинуться,rush
Китай,China
картинка,picture
сердито,angrily
комбат,"battalion commander, battery commander"
чтение,reading
триста,three hundred
продукция,"production, produce, output"
кирпич,brick
готовность,"readiness, preparedness, willingness"
федерация,federation
металл,metal
пещера,"cave, cavern, grotto"
атака,"attack, assault"
спасать,"save, rescue, salvage"
поначалу,"at first, firstly, in the beginning"
нужда,"need, want, indigence"
отчётливо,"clearly, vividly"
советник,"adviser, counsellor, councillor"
догнать,"catch up, overtake, come up, run down, overhaul"
чашка,"cup, cupful, scale, pan"
люк,"hatchway, hatch, trap"
спорт,sport
великолепный,"splendid, magnificent, gorgeous, excellent, fine"
флот,fleet
флот,Navy
налог,tax
демократия,democracy
подходящий,"suitable, proper, appropriate"
турист,"tourist, hiker"
эффект,"effect, effects"
конференция,conference
сосна,pine
некуда,nowhere
поспешно,"in a hurry, hurriedly, hastily"
будущий,"future, to be, to come, next"
соединить,"join, unite, connect, put through, combine"
суббота,Saturday
Украина,Ukraine
мыло,"soap, foam, lather"
соглашаться,"consent, agree, assent, concur, concede"
эксперимент,experiment
асфальт,asphalt
вылезть,"come out, climb out, scramble out, crawl out, get out, alight, fall out"
фактор,factor
стоя,upright
почта,"post, mail, post-office"
монах,monk
приключение,adventure
старость,old age
точность,"exactness, precision, accuracy, punctuality"
тронуть,touch
дурацкий,"stupid, idiotic"
ценный,valuable
плюс,"plus, advantage"
колдун,"sorcerer, magician, wizard"
